ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10594641,874,840,874,769,867,957,498,0.48,0.59,0.48,0.82,0.5,0.21,1.69,4
10594701,871,371,872,770,841,944,224,0.49,2.1,0.49,0.82,0.59,0.25,2.58,4
10594760,861,304,871,770,823,932,205,0.52,2.32,0.49,0.82,0.65,0.29,2.64,4
10594820,870,275,869,769,807,924,173,0.49,2.41,0.5,0.82,0.7,0.32,2.74,4
10594880,866,268,867,770,805,910,170,0.51,2.44,0.5,0.82,0.7,0.36,2.75,4
10594939,853,265,866,770,807,898,169,0.55,2.45,0.51,0.82,0.7,0.4,2.75,4
10594999,877,268,864,773,807,899,172,0.47,2.44,0.51,0.81,0.7,0.4,2.75,4
