ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
4266784,906.00,922.00,868.00,747.00,811.00,925.00,924.00,0.38,0.33,1.47,0.89,0.68,0.32,0.32,6
4266844,905.00,260.00,865.00,743.00,805.00,822.00,225.00,0.38,2.46,1.48,0.90,0.70,0.65,2.57,6
4266904,904.00,237.00,866.00,742.00,803.00,791.00,208.00,0.38,2.54,1.47,0.91,0.71,0.75,2.63,6
4266963,908.00,606.00,864.00,743.00,811.00,908.00,888.00,0.37,1.35,1.48,0.90,0.68,0.37,0.44,6
4267023,912.00,923.00,879.00,753.00,823.00,929.00,930.00,0.36,0.32,1.43,0.87,0.65,0.30,0.30,6
4267083,914.00,924.00,804.00,749.00,820.00,933.00,929.00,0.35,0.32,1.35,0.88,0.65,0.29,0.30,6
4267143,914.00,925.00,803.00,748.00,816.00,931.00,930.00,0.35,0.32,1.35,0.89,0.67,0.30,0.30,6
4267202,909.00,921.00,882.00,749.00,817.00,927.00,926.00,0.37,0.33,1.42,0.88,0.66,0.31,0.31,6
4267262,907.00,826.00,861.00,742.00,808.00,922.00,823.00,0.37,0.64,1.49,0.91,0.69,0.33,0.65,6
4267321,904.00,263.00,860.00,741.00,806.00,900.00,231.00,0.38,2.45,1.49,0.91,0.70,0.40,2.55,6
4267381,904.00,255.00,864.00,741.00,810.00,900.00,217.00,0.38,2.48,1.48,0.91,0.69,0.40,2.60,6
4267441,906.00,271.00,862.00,742.00,811.00,903.00,255.00,0.38,2.43,1.49,0.91,0.68,0.39,2.48,6
4267501,917.00,922.00,876.00,751.00,820.00,929.00,929.00,0.34,0.33,1.44,0.88,0.65,0.30,0.30,6
