ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2180168,896.00,266.00,798.00,779.00,815.00,869.00,164.00,0.41,2.44,0.73,0.79,0.67,0.50,2.77,4
2180228,900.00,263.00,796.00,779.00,813.00,859.00,167.00,0.37,2.45,0.73,0.79,0.68,0.53,2.76,4
2180288,909.00,267.00,798.00,778.00,813.00,872.00,178.00,0.37,2.44,0.73,0.79,0.68,0.49,2.73,4
2180348,890.00,264.00,796.00,776.00,812.00,863.00,171.00,0.43,2.45,0.73,0.80,0.68,0.52,2.75,4
2180409,895.00,258.00,796.00,775.00,813.00,861.00,170.00,0.41,2.47,0.73,0.80,0.68,0.52,2.75,4
2180469,891.00,257.00,793.00,775.00,812.00,863.00,171.00,0.43,2.47,0.74,0.80,0.68,0.52,2.75,4
2180529,899.00,249.00,792.00,776.00,812.00,862.00,166.00,0.40,2.50,0.75,0.80,0.68,0.52,2.76,4
2180590,908.00,249.00,792.00,773.00,812.00,858.00,172.00,0.37,2.50,0.75,0.81,0.68,0.53,2.75,4
