ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10511849,883,945,871,781,826,955,264,0.45,0.25,0.49,0.78,0.64,0.22,2.45,2
10511908,834,944,870,774,827,909,208,0.61,0.25,0.49,0.8,0.63,0.37,2.63,2
10511968,802,941,868,770,829,606,244,0.71,0.26,0.5,0.82,0.63,1.35,2.51,2
10512028,757,942,870,766,836,691,205,0.86,0.26,0.49,0.83,0.6,1.07,2.64,2
10512088,755,944,872,763,856,548,215,0.86,0.25,0.49,0.84,0.54,1.53,2.61,2
10512149,765,943,872,761,865,493,207,0.83,0.26,0.49,0.85,0.51,1.71,2.63,2
10512209,785,943,874,762,852,526,204,0.77,0.26,0.48,0.84,0.55,1.6,2.64,2
10512270,706,943,874,761,852,599,224,1.02,0.26,0.48,0.85,0.55,1.37,2.58,2
10512329,839,944,875,766,847,957,186,0.59,0.25,0.48,0.83,0.57,0.21,2.7,2
