ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10633197,861,250,852,739,831,944,180,0.52,2.49,0.55,0.92,0.62,0.25,2.72,4
10633257,851,245,850,738,826,943,179,0.55,2.51,0.56,0.92,0.64,0.26,2.72,4
10633317,856,251,847,740,830,943,185,0.54,2.49,0.57,0.91,0.62,0.26,2.7,4
10633377,863,244,843,740,829,942,176,0.52,2.51,0.58,0.91,0.63,0.26,2.73,4
10633436,871,242,841,741,826,941,174,0.49,2.52,0.59,0.91,0.64,0.26,2.74,4
10633496,872,240,839,742,846,944,172,0.49,2.53,0.59,0.91,0.57,0.25,2.75,4
10633556,867,240,838,742,842,942,173,0.5,2.53,0.6,0.91,0.58,0.26,2.74,4
