ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
320351,905,932,849,796,844,919,177,0.38,0.29,1.21,0.73,0.58,0.34,2.73,2
320411,899,930,842,790,841,910,179,0.4,0.3,1.23,0.75,0.59,0.36,2.72,2
320471,876,929,798,789,840,909,180,0.47,0.3,1.24,0.75,0.59,0.37,2.72,2
320531,875,929,798,789,843,906,181,0.48,0.3,1.25,0.75,0.58,0.38,2.72,2
320590,865,929,798,790,841,900,182,0.51,0.3,1.25,0.75,0.59,0.4,2.71,2
320650,877,929,798,790,842,913,183,0.47,0.3,1.25,0.75,0.58,0.35,2.71,2
320710,855,928,828,785,838,912,213,0.54,0.31,1.27,0.77,0.6,0.36,2.61,2
320770,869,927,828,787,838,907,214,0.5,0.31,1.27,0.76,0.6,0.37,2.61,2
320829,871,925,826,784,839,909,210,0.49,0.32,1.28,0.77,0.59,0.37,2.62,2
320889,855,926,827,785,840,907,209,0.54,0.31,1.28,0.77,0.59,0.37,2.63,2
320949,869,927,826,782,842,906,205,0.5,0.31,1.28,0.78,0.58,0.38,2.64,2
321009,871,928,829,782,842,902,203,0.49,0.31,1.27,0.78,0.58,0.39,2.65,2
321069,867,928,798,782,842,901,207,0.5,0.31,1.27,0.78,0.58,0.39,2.63,2
321129,877,926,798,778,842,899,199,0.47,0.31,1.27,0.79,0.58,0.4,2.66,2
321189,880,927,798,779,841,898,200,0.46,0.31,1.25,0.79,0.59,0.4,2.65,2
321248,885,940,809,763,838,904,169,0.45,0.27,0.69,0.84,0.6,0.38,2.75,2
