ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
446651,919,388,823,792,837,935,940,0.34,2.05,1.29,0.75,0.6,0.28,0.27,3
446711,919,379,825,793,836,936,937,0.34,2.08,1.28,0.74,0.6,0.28,0.28,3
446771,919,354,824,793,834,935,937,0.34,2.16,1.29,0.74,0.61,0.28,0.28,3
446831,919,351,823,793,836,936,939,0.34,2.17,1.29,0.74,0.6,0.28,0.27,3
446891,918,351,824,791,836,940,938,0.34,2.17,1.29,0.75,0.6,0.27,0.27,3
446951,918,344,824,791,836,939,938,0.34,2.19,1.29,0.75,0.6,0.27,0.27,3
447010,919,348,822,795,835,940,939,0.34,2.18,1.29,0.74,0.61,0.27,0.27,3
447070,917,343,826,791,835,935,938,0.34,2.19,1.28,0.75,0.61,0.28,0.27,3
447130,918,344,825,792,835,935,936,0.34,2.19,1.28,0.75,0.61,0.28,0.28,3
447190,918,344,825,792,835,934,939,0.34,2.19,1.28,0.75,0.61,0.29,0.27,3
447249,917,342,824,791,835,934,939,0.34,2.2,1.29,0.75,0.61,0.29,0.27,3
447309,916,338,824,791,835,934,940,0.35,2.21,1.29,0.75,0.61,0.29,0.27,3
447369,917,337,825,790,835,935,938,0.34,2.21,1.28,0.75,0.61,0.28,0.27,3
447429,918,337,824,792,835,934,940,0.34,2.21,1.29,0.75,0.61,0.29,0.27,3
447488,918,344,824,793,835,935,940,0.34,2.19,1.29,0.74,0.61,0.28,0.27,3
447548,918,369,823,791,837,935,938,0.34,2.11,1.29,0.75,0.6,0.28,0.27,3
