ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
1625343,900.00,952.00,857.00,781.00,810.00,954.00,578.00,0.27,0.23,0.54,0.78,0.69,0.22,1.44,2
1625403,909.00,952.00,855.00,778.00,807.00,945.00,237.00,0.27,0.23,0.54,0.79,0.70,0.25,2.54,2
1625463,900.00,952.00,856.00,779.00,805.00,940.00,197.00,0.27,0.23,0.54,0.79,0.70,0.27,2.66,2
1625523,901.00,953.00,859.00,779.00,809.00,938.00,190.00,0.26,0.23,0.53,0.79,0.69,0.27,2.69,2
1625583,902.00,954.00,862.00,780.00,811.00,929.00,189.00,0.26,0.22,0.52,0.78,0.68,0.30,2.69,2
1625643,902.00,954.00,864.00,780.00,813.00,928.00,189.00,0.26,0.22,0.51,0.78,0.68,0.31,2.69,2
1625703,901.00,953.00,864.00,779.00,814.00,922.00,220.00,0.26,0.23,0.51,0.79,0.67,0.33,2.59,2
1625762,900.00,954.00,863.00,779.00,812.00,925.00,219.00,0.27,0.22,0.52,0.79,0.68,0.32,2.59,2
1625823,901.00,954.00,862.00,780.00,810.00,925.00,180.00,0.27,0.22,0.52,0.78,0.69,0.32,2.72,2
1625883,901.00,954.00,863.00,779.00,809.00,928.00,179.00,0.27,0.22,0.52,0.79,0.69,0.31,2.72,2
1625943,901.00,954.00,860.00,778.00,807.00,927.00,181.00,0.28,0.22,0.53,0.79,0.70,0.31,2.72,2
1626003,901.00,954.00,859.00,777.00,807.00,927.00,183.00,0.28,0.22,0.53,0.79,0.70,0.31,2.71,2
1626063,901.00,953.00,857.00,776.00,808.00,924.00,179.00,0.28,0.23,0.54,0.80,0.69,0.32,2.72,2
1626123,905.00,952.00,857.00,776.00,807.00,925.00,179.00,0.28,0.23,0.54,0.80,0.70,0.32,2.72,2
1626183,905.00,954.00,859.00,778.00,809.00,924.00,192.00,0.28,0.22,0.53,0.79,0.69,0.32,2.68,2
1626243,905.00,953.00,858.00,776.00,808.00,928.00,189.00,0.28,0.23,0.53,0.80,0.69,0.31,2.69,2
1626303,905.00,952.00,858.00,776.00,808.00,929.00,185.00,0.28,0.23,0.53,0.80,0.69,0.30,2.70,2
1626363,904.00,952.00,856.00,776.00,808.00,929.00,175.00,0.29,0.23,0.54,0.80,0.69,0.30,2.74,2
1626423,904.00,953.00,857.00,778.00,807.00,931.00,177.00,0.29,0.23,0.54,0.79,0.70,0.30,2.73,2
1626483,904.00,952.00,856.00,776.00,807.00,929.00,179.00,0.29,0.23,0.54,0.80,0.70,0.30,2.72,2
1626543,904.00,952.00,854.00,775.00,806.00,931.00,176.00,0.29,0.23,0.55,0.80,0.70,0.30,2.73,2
1626602,901.00,952.00,855.00,775.00,808.00,934.00,243.00,0.28,0.23,0.54,0.80,0.69,0.29,2.52,2
1626662,905.00,952.00,855.00,782.00,808.00,949.00,382.00,0.28,0.23,0.54,0.78,0.69,0.24,2.07,2
