ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
347720,900,941,805,767,829,935,166,0.38,0.26,0.7,0.83,0.63,0.28,2.76,2
347780,900,939,804,763,828,936,164,0.37,0.27,0.71,0.84,0.63,0.28,2.77,2
347840,900,940,805,763,828,937,163,0.36,0.27,0.7,0.84,0.63,0.28,2.77,2
347899,905,940,804,764,826,938,162,0.38,0.27,0.71,0.84,0.64,0.27,2.78,2
347959,904,939,802,760,825,939,185,0.38,0.27,0.71,0.85,0.64,0.27,2.7,2
348019,902,938,801,759,825,938,186,0.39,0.27,0.72,0.85,0.64,0.27,2.7,2
348078,901,939,802,758,825,937,183,0.39,0.27,0.71,0.85,0.64,0.28,2.71,2
348138,900,940,803,762,826,936,162,0.4,0.27,0.71,0.84,0.64,0.28,2.78,2
348198,894,939,804,760,827,938,163,0.42,0.27,0.71,0.85,0.63,0.27,2.77,2
348257,896,940,804,759,827,939,163,0.41,0.27,0.71,0.85,0.63,0.27,2.77,2
348317,896,941,804,760,825,938,163,0.41,0.26,0.71,0.85,0.64,0.27,2.77,2
348377,894,941,808,761,829,940,162,0.42,0.26,0.69,0.85,0.63,0.27,2.78,2
348437,896,941,813,758,837,940,162,0.41,0.26,0.68,0.85,0.6,0.27,2.78,2
348496,899,942,816,754,837,940,161,0.4,0.26,0.67,0.87,0.6,0.27,2.78,2
348556,899,943,815,753,834,938,185,0.4,0.26,0.67,0.87,0.61,0.27,2.7,2
