ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2373388,944.00,955.00,856.00,796.00,821.00,957.00,956.00,0.25,0.22,0.54,0.73,0.65,0.21,0.22,5
2373448,935.00,947.00,840.00,767.00,804.00,952.00,951.00,0.28,0.25,0.59,0.83,0.71,0.23,0.23,5
2373509,934.00,946.00,832.00,764.00,784.00,948.00,946.00,0.29,0.25,0.62,0.84,0.77,0.24,0.25,5
2373570,930.00,943.00,825.00,760.00,770.00,944.00,943.00,0.30,0.26,0.64,0.85,0.82,0.25,0.26,5
2373630,928.00,941.00,822.00,762.00,758.00,943.00,941.00,0.31,0.26,0.65,0.84,0.85,0.26,0.26,5
2373690,928.00,941.00,822.00,760.00,771.00,944.00,943.00,0.31,0.26,0.65,0.85,0.81,0.25,0.26,5
2373750,924.00,941.00,820.00,758.00,756.00,942.00,941.00,0.32,0.26,0.65,0.85,0.86,0.26,0.26,5
2373810,922.00,939.00,815.00,758.00,746.00,939.00,938.00,0.33,0.27,0.67,0.85,0.89,0.27,0.27,5
2373870,920.00,939.00,818.00,757.00,742.00,939.00,938.00,0.33,0.27,0.66,0.86,0.91,0.27,0.27,5
2373929,920.00,937.00,818.00,755.00,736.00,938.00,937.00,0.33,0.28,0.66,0.86,0.93,0.27,0.28,5
2373989,921.00,938.00,817.00,753.00,732.00,938.00,934.00,0.33,0.27,0.66,0.87,0.94,0.27,0.29,5
2374049,916.00,937.00,817.00,752.00,732.00,938.00,937.00,0.35,0.28,0.66,0.87,0.94,0.27,0.28,5
2374109,916.00,937.00,818.00,753.00,728.00,937.00,936.00,0.35,0.28,0.66,0.87,0.95,0.28,0.28,5
2374169,916.00,937.00,816.00,752.00,729.00,941.00,935.00,0.35,0.28,0.67,0.87,0.95,0.26,0.28,5
2374231,920.00,939.00,839.00,756.00,737.00,941.00,940.00,0.33,0.27,0.59,0.86,0.92,0.26,0.27,5
2374291,930.00,943.00,851.00,768.00,771.00,948.00,946.00,0.30,0.26,0.55,0.82,0.81,0.24,0.25,5
