ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10465045,887,412,867,759,823,862,216,0.44,1.97,0.5,0.85,0.65,0.52,2.6,1
10465105,899,491,852,760,827,871,223,0.4,1.72,0.55,0.85,0.63,0.49,2.58,1
10465165,895,942,851,760,826,890,208,0.41,0.26,0.55,0.85,0.64,0.43,2.63,1
10465224,926,947,874,760,829,937,372,0.31,0.25,0.48,0.85,0.63,0.28,2.1,1
10465285,931,948,869,764,832,956,956,0.3,0.24,0.5,0.84,0.62,0.22,0.22,1
10465344,934,949,875,767,836,958,958,0.29,0.24,0.48,0.83,0.6,0.21,0.21,1
10465404,936,947,878,768,835,958,958,0.28,0.25,0.47,0.82,0.61,0.21,0.21,1
10465463,933,952,879,768,835,958,956,0.29,0.23,0.46,0.82,0.61,0.21,0.22,1
10465523,931,950,874,766,832,957,957,0.3,0.24,0.48,0.83,0.62,0.21,0.21,1
10465583,930,949,874,763,834,958,449,0.3,0.24,0.48,0.84,0.61,0.21,1.85,1
10465643,923,588,868,760,829,946,282,0.32,1.4,0.5,0.85,0.63,0.25,2.39,1
10465703,923,574,866,764,835,953,285,0.32,1.45,0.51,0.84,0.61,0.23,2.38,1
10465764,921,489,864,763,836,936,194,0.33,1.72,0.51,0.84,0.6,0.28,2.67,1
10465823,921,543,869,762,835,941,176,0.33,1.55,0.5,0.84,0.61,0.26,2.73,1
10465883,922,538,873,761,835,931,174,0.33,1.56,0.48,0.85,0.61,0.3,2.74,1
