ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10749888,917,940,673,775,878,953,954,0.34,0.27,0.81,0.8,0.47,0.23,0.22,7
10749947,915,937,613,782,892,950,949,0.35,0.28,1,0.78,0.42,0.24,0.24,7
10750007,922,933,689,786,881,946,945,0.33,0.29,1.08,0.76,0.46,0.25,0.25,7
10750067,912,933,677,787,871,944,944,0.36,0.29,1.12,0.76,0.49,0.25,0.25,7
10750126,921,934,667,789,884,942,941,0.33,0.29,1.15,0.75,0.45,0.26,0.26,7
10750186,919,930,636,791,884,943,943,0.34,0.3,1.25,0.75,0.45,0.26,0.26,7
10750245,921,932,660,790,885,944,946,0.33,0.29,1.17,0.75,0.45,0.25,0.25,7
10750305,921,932,659,789,885,942,944,0.33,0.29,1.17,0.75,0.45,0.26,0.25,7
10750365,920,932,659,790,876,943,943,0.33,0.29,1.17,0.75,0.47,0.26,0.26,7
10750424,911,932,657,791,886,944,944,0.36,0.29,1.18,0.75,0.44,0.25,0.25,7
10750484,921,932,657,789,884,944,943,0.33,0.29,1.18,0.75,0.45,0.25,0.26,7
10750544,920,930,633,791,883,942,940,0.33,0.3,1.26,0.75,0.45,0.26,0.27,7
10750604,931,945,676,783,889,958,958,0.3,0.25,0.8,0.77,0.43,0.21,0.21,7
