ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
113959,921,931,825,796,840,940,306,0.33,0.3,1.28,0.73,0.59,0.27,2.31,1
114018,919,365,826,791,839,936,242,0.34,2.12,1.28,0.75,0.59,0.28,2.52,1
114078,913,340,824,784,839,936,216,0.35,2.2,1.29,0.77,0.59,0.28,2.6,1
114138,913,324,820,783,839,935,218,0.35,2.25,1.3,0.77,0.59,0.28,2.6,1
114197,914,345,826,786,838,934,218,0.35,2.19,1.28,0.76,0.6,0.29,2.6,1
114257,921,463,834,791,843,937,249,0.33,1.81,1.25,0.75,0.58,0.28,2.5,1
114317,921,930,835,795,843,939,319,0.33,0.3,1.25,0.74,0.58,0.27,2.27,1
114377,923,927,829,797,840,938,263,0.32,0.31,1.27,0.73,0.59,0.27,2.45,1
114437,921,573,829,792,839,937,222,0.33,1.45,1.27,0.75,0.59,0.28,2.58,1
114496,919,384,830,791,841,935,217,0.34,2.06,1.27,0.75,0.59,0.28,2.6,1
114556,916,343,832,789,841,935,212,0.35,2.19,1.26,0.75,0.59,0.28,2.62,1
114616,922,575,834,798,844,938,225,0.33,1.45,1.25,0.73,0.58,0.27,2.57,1
114675,922,932,836,801,844,938,282,0.33,0.29,1.25,0.72,0.58,0.27,2.39,1
