ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10700061,938,297,881,777,851,952,171,0.27,2.34,0.46,0.79,0.55,0.23,2.75,6
10700121,936,296,878,777,843,952,164,0.28,2.35,0.47,0.79,0.58,0.23,2.77,6
10700181,936,291,878,781,839,952,161,0.28,2.36,0.47,0.78,0.59,0.23,2.78,6
10700241,943,962,881,783,878,963,958,0.26,0.2,0.46,0.77,0.47,0.19,0.21,6
10700301,939,961,887,784,938,974,974,0.27,0.2,0.44,0.77,0.27,0.16,0.16,6
10700540,944,962,880,781,915,965,964,0.25,0.2,0.46,0.78,0.35,0.19,0.19,6
10700599,938,340,881,774,874,956,192,0.27,2.2,0.46,0.8,0.48,0.22,2.68,6
10700659,939,295,877,782,859,954,161,0.27,2.35,0.47,0.78,0.53,0.22,2.78,6
10700719,939,290,876,780,852,952,155,0.27,2.36,0.47,0.78,0.55,0.23,2.8,6
10700779,922,316,867,800,845,933,193,0.33,2.28,1.15,0.72,0.57,0.29,2.68,6
10700838,923,315,867,799,843,933,194,0.32,2.28,1.15,0.72,0.58,0.29,2.67,6
10700898,923,319,870,798,845,933,197,0.32,2.27,1.14,0.73,0.57,0.29,2.66,6
10700958,941,330,883,784,867,957,229,0.26,2.24,0.45,0.77,0.5,0.21,2.56,6
