ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
3404635,905.00,922.00,793.00,759.00,811.00,929.00,829.00,0.35,0.33,1.42,0.85,0.68,0.30,0.63,2
3404695,906.00,923.00,793.00,759.00,810.00,899.00,761.00,0.35,0.32,1.42,0.85,0.69,0.40,0.85,2
3404755,905.00,923.00,794.00,758.00,811.00,905.00,791.00,0.35,0.32,1.42,0.85,0.68,0.38,0.75,2
3404814,905.00,923.00,795.00,759.00,811.00,929.00,706.00,0.35,0.32,1.41,0.85,0.68,0.30,1.02,2
3404875,909.00,925.00,795.00,759.00,815.00,929.00,682.00,0.34,0.32,1.41,0.85,0.67,0.30,1.10,2
3404935,906.00,925.00,796.00,761.00,815.00,930.00,675.00,0.35,0.32,1.41,0.85,0.67,0.30,1.12,2
3404996,907.00,925.00,796.00,761.00,817.00,930.00,671.00,0.34,0.32,1.41,0.85,0.66,0.30,1.14,2
3405056,903.00,923.00,794.00,761.00,816.00,929.00,669.00,0.35,0.32,1.42,0.85,0.67,0.30,1.14,2
3405115,904.00,925.00,793.00,763.00,816.00,929.00,464.00,0.35,0.32,1.42,0.84,0.67,0.30,1.80,2
3405236,901.00,923.00,794.00,764.00,811.00,548.00,638.00,0.36,0.32,1.42,0.84,0.68,1.53,1.24,2
3405295,901.00,923.00,792.00,763.00,813.00,648.00,630.00,0.36,0.32,1.42,0.84,0.68,1.21,1.27,2
3405355,900.00,923.00,793.00,763.00,808.00,633.00,751.00,0.36,0.32,1.42,0.84,0.69,1.26,0.88,2
3405415,902.00,924.00,795.00,764.00,809.00,614.00,724.00,0.36,0.32,1.41,0.84,0.69,1.32,0.96,2
3405475,900.00,923.00,794.00,762.00,812.00,591.00,635.00,0.36,0.32,1.42,0.84,0.68,1.39,1.25,2
3405534,903.00,924.00,792.00,762.00,816.00,595.00,609.00,0.35,0.32,1.42,0.84,0.67,1.38,1.34,2
3405594,903.00,924.00,793.00,762.00,817.00,619.00,683.00,0.35,0.32,1.42,0.84,0.66,1.30,1.10,2
