ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
5443100,909.00,924.00,626.00,745.00,789.00,943.00,944.00,0.37,0.32,0.64,0.90,0.75,0.26,0.25,7
5443160,910.00,924.00,627.00,745.00,801.00,945.00,946.00,0.36,0.32,0.63,0.90,0.72,0.25,0.25,7
5443220,905.00,922.00,625.00,744.00,762.00,938.00,939.00,0.38,0.33,0.64,0.90,0.84,0.27,0.27,7
5443280,910.00,925.00,624.00,743.00,800.00,945.00,946.00,0.36,0.32,0.64,0.90,0.72,0.25,0.25,7
5443340,907.00,923.00,619.00,742.00,783.00,940.00,942.00,0.37,0.32,0.66,0.91,0.77,0.27,0.26,7
5443400,904.00,920.00,611.00,744.00,751.00,935.00,936.00,0.38,0.33,0.68,0.90,0.88,0.28,0.28,7
5443460,905.00,921.00,616.00,740.00,754.00,936.00,936.00,0.38,0.33,0.67,0.91,0.87,0.28,0.28,7
5443519,903.00,919.00,606.00,739.00,753.00,935.00,934.00,0.39,0.34,0.70,0.92,0.87,0.28,0.29,7
5443579,902.00,918.00,603.00,738.00,754.00,934.00,934.00,0.39,0.34,0.71,0.92,0.87,0.29,0.29,7
5443640,901.00,917.00,699.00,737.00,755.00,934.00,933.00,0.39,0.34,0.72,0.92,0.86,0.29,0.29,7
5443700,906.00,921.00,603.00,748.00,759.00,935.00,936.00,0.38,0.33,0.71,0.89,0.85,0.28,0.28,7
5443761,906.00,921.00,604.00,746.00,768.00,937.00,937.00,0.38,0.33,0.71,0.89,0.82,0.28,0.28,7
5443820,905.00,918.00,601.00,745.00,768.00,936.00,937.00,0.38,0.34,0.72,0.90,0.82,0.28,0.28,7
5443880,907.00,921.00,601.00,747.00,773.00,938.00,938.00,0.37,0.33,0.72,0.89,0.81,0.27,0.27,7
5443940,906.00,921.00,600.00,747.00,776.00,939.00,939.00,0.38,0.33,0.72,0.89,0.80,0.27,0.27,7
5443999,906.00,921.00,600.00,744.00,775.00,938.00,938.00,0.38,0.33,0.72,0.90,0.80,0.27,0.27,7
5444060,907.00,922.00,698.00,744.00,784.00,940.00,940.00,0.37,0.33,0.73,0.90,0.77,0.27,0.27,7
5444120,905.00,921.00,696.00,745.00,776.00,939.00,934.00,0.38,0.33,0.73,0.90,0.80,0.27,0.29,7
5444180,907.00,922.00,695.00,744.00,779.00,938.00,938.00,0.37,0.33,0.74,0.90,0.79,0.27,0.27,7
5444241,904.00,921.00,696.00,743.00,775.00,939.00,938.00,0.38,0.33,0.73,0.90,0.80,0.27,0.27,7
5444300,904.00,921.00,697.00,742.00,775.00,938.00,937.00,0.38,0.33,0.73,0.91,0.80,0.27,0.28,7
5444361,905.00,922.00,698.00,743.00,775.00,938.00,939.00,0.38,0.33,0.73,0.90,0.80,0.27,0.27,7
5444421,904.00,920.00,696.00,742.00,766.00,936.00,936.00,0.38,0.33,0.73,0.91,0.83,0.28,0.28,7
5444481,906.00,921.00,696.00,742.00,772.00,938.00,936.00,0.38,0.33,0.73,0.91,0.81,0.27,0.28,7
5444541,907.00,922.00,696.00,743.00,776.00,938.00,938.00,0.37,0.33,0.73,0.90,0.80,0.27,0.27,7
5444601,909.00,923.00,604.00,748.00,799.00,943.00,944.00,0.37,0.32,0.71,0.89,0.72,0.26,0.25,7
