ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2473779,935.00,958.00,843.00,786.00,870.00,960.00,624.00,0.28,0.21,0.58,0.76,0.49,0.20,1.29,6
2473839,934.00,553.00,837.00,779.00,854.00,954.00,435.00,0.29,1.52,0.60,0.79,0.55,0.22,1.90,6
2473899,932.00,454.00,831.00,771.00,855.00,951.00,375.00,0.29,1.84,0.62,0.81,0.54,0.23,2.09,6
2473959,933.00,479.00,835.00,776.00,859.00,953.00,388.00,0.29,1.75,0.61,0.80,0.53,0.23,2.05,6
2474019,943.00,969.00,846.00,781.00,977.00,977.00,976.00,0.26,0.17,0.57,0.78,0.15,0.15,0.15,6
2474080,941.00,960.00,874.00,790.00,881.00,968.00,966.00,0.26,0.20,0.48,0.75,0.46,0.18,0.18,6
2474140,945.00,959.00,880.00,790.00,887.00,968.00,968.00,0.25,0.21,0.46,0.75,0.44,0.18,0.18,6
2474200,942.00,960.00,870.00,787.00,874.00,966.00,966.00,0.26,0.20,0.49,0.76,0.48,0.18,0.18,6
2474260,942.00,960.00,828.00,786.00,896.00,961.00,959.00,0.26,0.20,0.63,0.76,0.41,0.20,0.21,6
2474320,941.00,506.00,832.00,776.00,832.00,950.00,404.00,0.26,1.67,0.62,0.80,0.62,0.24,2.00,6
2474380,941.00,420.00,833.00,778.00,832.00,949.00,307.00,0.26,1.95,0.61,0.79,0.62,0.24,2.31,6
2474440,936.00,388.00,832.00,778.00,823.00,946.00,186.00,0.28,2.05,0.62,0.79,0.65,0.25,2.70,6
2474500,944.00,517.00,827.00,775.00,887.00,958.00,483.00,0.25,1.63,0.63,0.80,0.44,0.21,1.74,6
2474560,949.00,963.00,837.00,782.00,976.00,977.00,978.00,0.24,0.19,0.60,0.78,0.15,0.15,0.15,6
