ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10784028,903,927,627,792,866,939,938,0.39,0.31,1.28,0.75,0.51,0.27,0.27,7
10784088,904,928,625,792,859,938,938,0.38,0.31,1.28,0.75,0.53,0.27,0.27,7
10784147,903,928,625,790,863,938,937,0.39,0.31,1.28,0.75,0.52,0.27,0.28,7
10784208,903,926,627,791,862,938,938,0.39,0.31,1.28,0.75,0.52,0.27,0.27,7
10784268,904,929,625,796,860,938,939,0.38,0.3,1.28,0.73,0.53,0.27,0.27,7
10784328,905,928,624,796,861,938,939,0.38,0.31,1.29,0.73,0.52,0.27,0.27,7
10784387,906,929,623,797,866,939,938,0.38,0.3,1.29,0.73,0.51,0.27,0.27,7
10784447,906,929,624,795,871,939,939,0.38,0.3,1.29,0.74,0.49,0.27,0.27,7
10784506,905,928,623,794,871,939,939,0.38,0.31,1.29,0.74,0.49,0.27,0.27,7
10784567,903,926,624,793,859,938,937,0.39,0.31,1.29,0.74,0.53,0.27,0.28,7
10784627,903,927,623,791,858,938,937,0.39,0.31,1.29,0.75,0.53,0.27,0.28,7
10784686,906,928,624,796,863,939,939,0.38,0.31,1.29,0.73,0.52,0.27,0.27,7
10784746,906,931,637,796,860,940,940,0.38,0.3,1.25,0.73,0.53,0.27,0.27,7
