ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10483649,861,938,870,763,816,566,242,0.52,0.27,0.49,0.84,0.67,1.47,2.52,2
10483708,703,936,870,763,812,473,214,1.03,0.28,0.49,0.84,0.68,1.77,2.61,2
10483768,747,937,869,762,812,445,204,0.89,0.28,0.5,0.84,0.68,1.86,2.64,2
10483828,748,936,869,762,813,427,197,0.89,0.28,0.5,0.84,0.68,1.92,2.66,2
10483888,743,937,870,760,811,404,194,0.9,0.28,0.49,0.85,0.68,2,2.67,2
10483948,733,937,868,758,812,396,188,0.94,0.28,0.5,0.85,0.68,2.02,2.69,2
10484007,716,937,868,757,812,388,189,0.99,0.28,0.5,0.86,0.68,2.05,2.69,2
10484068,722,936,868,759,812,389,192,0.97,0.28,0.5,0.85,0.68,2.05,2.68,2
10484127,871,937,869,761,816,505,212,0.49,0.28,0.5,0.85,0.67,1.67,2.62,2
