ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
4171326,927.00,944.00,857.00,722.00,814.00,951.00,952.00,0.31,0.25,0.54,0.97,0.67,0.23,0.23,0
4171386,928.00,946.00,856.00,721.00,819.00,953.00,954.00,0.31,0.25,0.54,0.97,0.66,0.23,0.22,0
4171446,927.00,945.00,853.00,720.00,818.00,954.00,952.00,0.31,0.25,0.55,0.98,0.66,0.22,0.23,0
4171505,928.00,944.00,852.00,721.00,816.00,954.00,954.00,0.31,0.25,0.55,0.97,0.67,0.22,0.22,0
4171565,927.00,943.00,852.00,720.00,816.00,952.00,953.00,0.31,0.26,0.55,0.98,0.67,0.23,0.23,0
4171625,924.00,945.00,852.00,720.00,816.00,953.00,951.00,0.32,0.25,0.55,0.98,0.67,0.23,0.23,0
4171685,926.00,945.00,850.00,720.00,815.00,953.00,952.00,0.31,0.25,0.56,0.98,0.67,0.23,0.23,0
4171744,932.00,945.00,849.00,720.00,815.00,954.00,952.00,0.29,0.25,0.56,0.98,0.67,0.22,0.23,0
4171804,928.00,944.00,846.00,720.00,813.00,955.00,953.00,0.31,0.25,0.57,0.98,0.68,0.22,0.23,0
4171864,928.00,944.00,848.00,720.00,814.00,954.00,951.00,0.31,0.25,0.56,0.98,0.67,0.22,0.23,0
4171924,927.00,943.00,848.00,720.00,814.00,954.00,952.00,0.31,0.26,0.56,0.98,0.67,0.22,0.23,0
4216912,936.00,942.00,847.00,723.00,815.00,952.00,951.00,0.28,0.26,0.57,0.97,0.67,0.23,0.23,0
4216972,936.00,941.00,858.00,722.00,812.00,951.00,950.00,0.28,0.26,0.53,0.97,0.68,0.23,0.24,0
4217032,936.00,943.00,853.00,722.00,811.00,950.00,950.00,0.28,0.26,0.55,0.97,0.68,0.24,0.24,0
4217091,936.00,942.00,852.00,720.00,811.00,951.00,952.00,0.28,0.26,0.55,0.98,0.68,0.23,0.23,0
4217151,937.00,942.00,851.00,720.00,811.00,949.00,950.00,0.28,0.26,0.55,0.98,0.68,0.24,0.24,0
4217211,936.00,941.00,851.00,721.00,810.00,950.00,950.00,0.28,0.26,0.55,0.97,0.69,0.24,0.24,0
4217270,936.00,942.00,850.00,721.00,810.00,950.00,950.00,0.28,0.26,0.56,0.97,0.69,0.24,0.24,0
4217330,936.00,941.00,849.00,720.00,810.00,949.00,950.00,0.28,0.26,0.56,0.98,0.69,0.24,0.24,0
4217390,936.00,942.00,849.00,721.00,810.00,952.00,951.00,0.28,0.26,0.56,0.97,0.69,0.23,0.23,0
4217449,937.00,942.00,849.00,722.00,809.00,950.00,950.00,0.28,0.26,0.56,0.97,0.69,0.24,0.24,0
4217509,937.00,943.00,848.00,721.00,810.00,947.00,949.00,0.28,0.26,0.56,0.97,0.69,0.25,0.24,0
4217569,935.00,942.00,847.00,722.00,808.00,948.00,949.00,0.28,0.26,0.57,0.97,0.69,0.24,0.24,0
4217629,936.00,942.00,847.00,721.00,808.00,947.00,949.00,0.28,0.26,0.57,0.97,0.69,0.25,0.24,0
4217688,936.00,942.00,846.00,720.00,809.00,947.00,947.00,0.28,0.26,0.57,0.98,0.69,0.25,0.25,0
4217748,936.00,942.00,843.00,721.00,809.00,947.00,949.00,0.28,0.26,0.58,0.97,0.69,0.25,0.24,0
4248821,924.00,938.00,801.00,721.00,813.00,947.00,948.00,0.32,0.27,0.72,0.97,0.68,0.25,0.24,0
4248881,923.00,938.00,801.00,722.00,811.00,947.00,947.00,0.32,0.27,0.72,0.97,0.68,0.25,0.25,0
4248941,924.00,937.00,801.00,721.00,813.00,947.00,947.00,0.32,0.28,0.72,0.97,0.68,0.25,0.25,0
4249001,923.00,939.00,799.00,721.00,813.00,946.00,947.00,0.32,0.27,0.72,0.97,0.68,0.25,0.25,0
4249240,924.00,938.00,801.00,721.00,813.00,947.00,946.00,0.32,0.27,0.72,0.97,0.68,0.25,0.25,0
4249120,923.00,938.00,801.00,722.00,815.00,947.00,946.00,0.32,0.27,0.72,0.97,0.67,0.25,0.25,0
4249180,931.00,938.00,801.00,722.00,814.00,948.00,948.00,0.30,0.27,0.72,0.97,0.67,0.24,0.24,0
4249240,924.00,937.00,801.00,723.00,813.00,951.00,947.00,0.32,0.28,0.72,0.97,0.68,0.23,0.25,0
4249300,925.00,939.00,801.00,723.00,819.00,942.00,947.00,0.32,0.27,0.72,0.97,0.66,0.26,0.25,0
4249360,925.00,937.00,797.00,724.00,813.00,944.00,947.00,0.32,0.28,0.73,0.96,0.68,0.25,0.25,0
4249420,916.00,920.00,587.00,744.00,818.00,928.00,929.00,0.35,0.33,1.41,0.90,0.66,0.31,0.30,0
4249480,937.00,920.00,582.00,746.00,815.00,927.00,929.00,0.37,0.33,1.42,0.89,0.67,0.31,0.30,0
4249540,923.00,918.00,578.00,746.00,813.00,926.00,925.00,0.35,0.34,1.44,0.89,0.68,0.31,0.32,0
4249600,922.00,918.00,572.00,746.00,814.00,924.00,924.00,0.36,0.34,1.45,0.89,0.67,0.32,0.32,0
4250496,937.00,945.00,843.00,727.00,815.00,952.00,951.00,0.28,0.25,0.58,0.95,0.67,0.23,0.23,0
4250556,940.00,946.00,865.00,725.00,817.00,953.00,953.00,0.27,0.25,0.51,0.96,0.66,0.23,0.23,0
4250616,940.00,946.00,864.00,725.00,821.00,954.00,953.00,0.27,0.25,0.51,0.96,0.65,0.22,0.23,0
