ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2095354,941.00,574.00,854.00,791.00,857.00,960.00,959.00,0.26,1.45,0.55,0.75,0.54,0.20,0.21,3
2095413,943.00,335.00,853.00,791.00,848.00,959.00,958.00,0.26,2.22,0.55,0.75,0.56,0.21,0.21,3
2095473,947.00,390.00,861.00,794.00,852.00,962.00,959.00,0.25,2.04,0.52,0.74,0.55,0.20,0.21,3
2095533,947.00,292.00,866.00,794.00,875.00,966.00,961.00,0.25,2.36,0.51,0.74,0.48,0.18,0.20,3
2095593,947.00,300.00,867.00,797.00,837.00,962.00,957.00,0.25,2.33,0.50,0.73,0.60,0.20,0.21,3
2095653,956.00,369.00,866.00,806.00,841.00,963.00,958.00,0.22,2.11,0.51,0.70,0.59,0.19,0.21,3
2095714,946.00,392.00,864.00,802.00,845.00,963.00,959.00,0.25,2.04,0.51,0.71,0.57,0.19,0.21,3
2095774,946.00,347.00,864.00,798.00,843.00,962.00,957.00,0.25,2.18,0.51,0.73,0.58,0.20,0.21,3
2095835,950.00,347.00,865.00,797.00,842.00,962.00,957.00,0.24,2.18,0.51,0.73,0.58,0.20,0.21,3
2095894,945.00,325.00,861.00,796.00,843.00,962.00,957.00,0.25,2.25,0.52,0.73,0.58,0.20,0.21,3
2095954,943.00,353.00,858.00,800.00,843.00,963.00,958.00,0.26,2.16,0.53,0.72,0.58,0.19,0.21,3
2096015,943.00,449.00,857.00,798.00,840.00,961.00,961.00,0.26,1.85,0.54,0.73,0.59,0.20,0.20,3
2096075,943.00,365.00,857.00,796.00,841.00,960.00,956.00,0.26,2.12,0.54,0.73,0.59,0.20,0.22,3
2096135,943.00,356.00,856.00,795.00,843.00,959.00,956.00,0.26,2.15,0.54,0.74,0.58,0.21,0.22,3
2096195,942.00,348.00,855.00,791.00,852.00,959.00,957.00,0.26,2.18,0.54,0.75,0.55,0.21,0.21,3
2096255,943.00,534.00,856.00,795.00,857.00,960.00,959.00,0.26,1.58,0.54,0.74,0.54,0.20,0.21,3
2096315,951.00,384.00,855.00,802.00,857.00,961.00,959.00,0.23,2.06,0.54,0.71,0.54,0.20,0.21,3
