ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10442595,938,391,875,749,956,969,215,0.27,2.04,0.48,0.88,0.22,0.17,2.61,1
10442655,933,547,875,754,926,966,222,0.29,1.54,0.48,0.87,0.31,0.18,2.58,1
10442715,929,485,871,750,919,960,181,0.3,1.74,0.49,0.88,0.34,0.2,2.72,1
10442774,927,951,874,750,899,960,183,0.31,0.23,0.48,0.88,0.4,0.2,2.71,1
10442834,937,953,875,759,890,961,335,0.28,0.23,0.48,0.85,0.43,0.2,2.22,1
10442893,939,954,876,764,869,962,817,0.27,0.22,0.47,0.84,0.5,0.2,0.66,1
10442953,944,955,879,765,891,965,965,0.25,0.22,0.46,0.83,0.43,0.19,0.19,1
10443013,940,951,879,761,899,968,967,0.27,0.23,0.46,0.85,0.4,0.18,0.18,1
10443072,941,956,879,760,894,967,967,0.26,0.22,0.46,0.85,0.42,0.18,0.18,1
10443132,949,960,877,760,904,976,974,0.24,0.2,0.47,0.85,0.38,0.15,0.16,1
10443192,946,959,878,753,942,972,845,0.25,0.21,0.47,0.87,0.26,0.16,0.57,1
10443251,947,960,873,753,960,973,660,0.25,0.2,0.48,0.87,0.2,0.16,1.17,1
10443311,946,408,870,751,939,968,254,0.25,1.98,0.49,0.88,0.27,0.18,2.48,1
10443370,933,370,871,754,927,965,215,0.29,2.11,0.49,0.87,0.31,0.19,2.61,1
10443430,934,548,872,758,884,962,441,0.29,1.53,0.49,0.85,0.45,0.2,1.88,1
10443490,930,362,870,761,879,962,284,0.3,2.13,0.49,0.85,0.46,0.2,2.38,1
