ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2630734,924.00,939.00,647.00,787.00,851.00,944.00,943.00,0.32,0.27,1.21,0.76,0.55,0.25,0.26,7
2630796,924.00,939.00,647.00,787.00,850.00,942.00,943.00,0.32,0.27,1.21,0.76,0.56,0.26,0.26,7
2630857,923.00,939.00,647.00,788.00,851.00,944.00,943.00,0.32,0.27,1.21,0.76,0.55,0.25,0.26,7
2630917,924.00,939.00,646.00,788.00,850.00,943.00,942.00,0.32,0.27,1.22,0.76,0.56,0.26,0.26,7
2630977,926.00,939.00,647.00,788.00,851.00,943.00,943.00,0.31,0.27,1.21,0.76,0.55,0.26,0.26,7
2631037,924.00,939.00,648.00,787.00,850.00,944.00,943.00,0.32,0.27,1.21,0.76,0.56,0.25,0.26,7
2631097,925.00,938.00,647.00,788.00,851.00,943.00,942.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631157,924.00,939.00,646.00,787.00,851.00,943.00,943.00,0.32,0.27,1.22,0.76,0.55,0.26,0.26,7
2631217,924.00,938.00,647.00,788.00,851.00,943.00,943.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631277,924.00,938.00,647.00,785.00,852.00,943.00,943.00,0.32,0.27,1.21,0.77,0.55,0.26,0.26,7
2631337,924.00,939.00,646.00,788.00,852.00,943.00,943.00,0.32,0.27,1.22,0.76,0.55,0.26,0.26,7
2631397,924.00,939.00,647.00,788.00,851.00,943.00,942.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631457,924.00,939.00,647.00,788.00,851.00,943.00,942.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631517,925.00,939.00,647.00,788.00,851.00,943.00,943.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631577,925.00,939.00,647.00,788.00,852.00,943.00,943.00,0.32,0.27,1.21,0.76,0.55,0.26,0.26,7
2631637,924.00,939.00,647.00,789.00,850.00,944.00,943.00,0.32,0.27,1.21,0.75,0.56,0.25,0.26,7
2631697,925.00,939.00,646.00,791.00,851.00,943.00,943.00,0.32,0.27,1.22,0.75,0.55,0.26,0.26,7
2631756,926.00,940.00,647.00,795.00,858.00,944.00,945.00,0.31,0.27,1.21,0.74,0.53,0.25,0.25,7
2631817,934.00,941.00,643.00,797.00,879.00,963.00,962.00,0.29,0.26,1.23,0.73,0.46,0.19,0.20,7
2631877,933.00,942.00,632.00,796.00,894.00,946.00,945.00,0.29,0.26,1.26,0.73,0.42,0.25,0.25,7
2631937,928.00,939.00,636.00,792.00,854.00,942.00,942.00,0.31,0.27,1.25,0.75,0.55,0.26,0.26,7
2631996,926.00,937.00,634.00,791.00,850.00,941.00,941.00,0.31,0.28,1.25,0.75,0.56,0.26,0.26,7
2632058,926.00,937.00,638.00,795.00,844.00,942.00,941.00,0.31,0.28,1.24,0.74,0.58,0.26,0.26,7
2632118,926.00,938.00,637.00,797.00,844.00,941.00,941.00,0.31,0.27,1.25,0.73,0.58,0.26,0.26,7
2632178,927.00,938.00,636.00,802.00,849.00,942.00,942.00,0.31,0.27,1.25,0.71,0.56,0.26,0.26,7
2632238,921.00,932.00,601.00,785.00,835.00,937.00,935.00,0.33,0.29,1.36,0.77,0.61,0.28,0.28,7
2632299,922.00,932.00,603.00,788.00,836.00,936.00,935.00,0.33,0.29,1.35,0.76,0.60,0.28,0.28,7
2632361,922.00,932.00,602.00,792.00,838.00,937.00,937.00,0.33,0.29,1.36,0.75,0.60,0.28,0.28,7
2632422,922.00,932.00,601.00,792.00,838.00,937.00,936.00,0.33,0.29,1.36,0.75,0.60,0.28,0.28,7
2632484,924.00,933.00,605.00,793.00,831.00,936.00,935.00,0.32,0.29,1.35,0.74,0.62,0.28,0.28,7
2632544,922.00,931.00,603.00,790.00,829.00,936.00,936.00,0.33,0.30,1.35,0.75,0.63,0.28,0.28,7
2632604,921.00,931.00,603.00,789.00,829.00,935.00,935.00,0.33,0.30,1.35,0.75,0.63,0.28,0.28,7
2632664,933.00,941.00,639.00,812.00,875.00,947.00,946.00,0.29,0.26,1.24,0.68,0.48,0.25,0.25,7
