ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2328830,928.00,950.00,852.00,781.00,748.00,949.00,947.00,0.31,0.24,0.55,0.78,0.76,0.24,0.25,5
2328890,928.00,950.00,853.00,780.00,748.00,948.00,945.00,0.31,0.24,0.55,0.78,0.79,0.24,0.25,5
2328950,926.00,949.00,857.00,776.00,743.00,952.00,948.00,0.31,0.24,0.54,0.80,0.77,0.23,0.24,5
2329009,926.00,951.00,858.00,774.00,749.00,952.00,948.00,0.31,0.23,0.53,0.80,0.72,0.23,0.24,5
2329070,928.00,953.00,860.00,772.00,744.00,956.00,952.00,0.31,0.23,0.53,0.81,0.64,0.22,0.23,5
2329130,926.00,953.00,864.00,772.00,741.00,952.00,948.00,0.31,0.23,0.51,0.81,0.75,0.23,0.24,5
2329191,921.00,950.00,866.00,773.00,742.00,952.00,948.00,0.33,0.24,0.51,0.81,0.78,0.23,0.24,5
2329251,923.00,949.00,873.00,774.00,747.00,951.00,948.00,0.32,0.24,0.48,0.80,0.79,0.23,0.24,5
2329311,926.00,952.00,885.00,783.00,742.00,953.00,950.00,0.31,0.23,0.45,0.77,0.78,0.23,0.24,5
