ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10449655,930,440,876,753,909,965,213,0.3,1.88,0.47,0.87,0.37,0.19,2.61,1
10449715,928,351,874,754,883,961,190,0.31,2.17,0.48,0.87,0.45,0.2,2.69,1
10449775,926,346,873,754,877,957,183,0.31,2.18,0.48,0.87,0.47,0.21,2.71,1
10449835,933,345,869,755,880,956,184,0.29,2.19,0.5,0.86,0.46,0.22,2.71,1
10449894,933,586,876,757,881,961,490,0.29,1.41,0.47,0.86,0.46,0.2,1.72,1
10449954,937,950,881,757,924,969,969,0.28,0.24,0.46,0.86,0.32,0.17,0.17,1
10450014,939,954,880,754,919,969,970,0.27,0.22,0.46,0.87,0.34,0.17,0.17,1
10450074,942,957,881,750,950,975,975,0.26,0.21,0.46,0.88,0.24,0.15,0.15,1
10450133,937,954,879,757,889,966,965,0.28,0.22,0.46,0.86,0.43,0.18,0.19,1
10450193,938,954,879,758,891,966,966,0.27,0.22,0.46,0.85,0.43,0.18,0.18,1
10450253,938,953,880,763,871,965,963,0.27,0.23,0.46,0.84,0.49,0.19,0.19,1
10450312,939,955,880,757,920,970,861,0.27,0.22,0.46,0.86,0.33,0.17,0.52,1
10450373,940,953,877,752,917,968,711,0.27,0.23,0.47,0.87,0.34,0.18,1.01,1
10450432,939,509,877,749,930,970,303,0.27,1.66,0.47,0.88,0.3,0.17,2.32,1
10450493,937,497,873,750,912,963,254,0.28,1.7,0.48,0.88,0.36,0.19,2.48,1
10450552,936,437,871,750,910,964,219,0.28,1.89,0.49,0.88,0.36,0.19,2.59,1
10450613,936,341,871,750,921,964,208,0.28,2.2,0.49,0.88,0.33,0.19,2.63,1
10450672,935,344,869,749,929,963,281,0.28,2.19,0.5,0.88,0.3,0.19,2.39,1
10450732,933,572,869,755,931,969,972,0.29,1.45,0.5,0.86,0.3,0.17,0.16,1
