ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
154371,919,929,835,794,844,934,199,0.34,0.3,1.25,0.74,0.58,0.29,2.66,1
154431,916,349,841,790,844,934,202,0.35,2.17,1.23,0.75,0.58,0.29,2.65,1
154491,912,336,829,783,839,931,207,0.36,2.22,1.27,0.77,0.59,0.3,2.63,1
154550,914,359,831,787,840,933,204,0.35,2.14,1.26,0.76,0.59,0.29,2.64,1
154610,921,930,837,795,844,936,202,0.33,0.3,1.25,0.74,0.58,0.28,2.65,1
154670,920,929,834,793,843,935,203,0.33,0.3,1.25,0.74,0.58,0.28,2.65,1
154730,922,932,841,795,849,937,204,0.33,0.29,1.23,0.74,0.56,0.28,2.64,1
154790,919,366,842,792,846,936,202,0.34,2.12,1.23,0.75,0.57,0.28,2.65,1
154850,914,342,833,783,838,933,202,0.35,2.2,1.26,0.77,0.6,0.29,2.65,1
154910,912,341,825,779,837,933,205,0.36,2.2,1.28,0.79,0.6,0.29,2.64,1
154971,913,465,828,780,837,933,208,0.35,1.8,1.27,0.78,0.6,0.29,2.63,1
155031,913,472,830,783,838,934,203,0.35,1.78,1.27,0.77,0.6,0.29,2.65,1
155092,924,502,842,797,846,938,201,0.32,1.68,1.23,0.73,0.57,0.27,2.65,1
155151,926,930,839,794,846,938,199,0.31,0.3,1.24,0.74,0.57,0.27,2.66,1
