ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10720087,947,404,877,787,843,959,275,0.25,2,0.47,0.76,0.58,0.21,2.41,6
10720147,945,326,882,785,839,955,191,0.25,2.25,0.45,0.77,0.59,0.22,2.68,6
10720207,945,309,881,780,836,957,193,0.25,2.3,0.46,0.78,0.6,0.21,2.68,6
10720266,944,316,878,780,835,956,204,0.25,2.28,0.47,0.78,0.61,0.22,2.64,6
10720326,951,805,879,782,884,965,957,0.23,0.7,0.46,0.78,0.45,0.19,0.21,6
10720685,931,950,877,788,847,960,955,0.3,0.24,0.47,0.76,0.57,0.2,0.22,6
10720745,944,961,877,786,843,960,950,0.25,0.2,0.47,0.76,0.58,0.2,0.24,6
10720805,942,552,876,787,846,958,572,0.26,1.52,0.47,0.76,0.57,0.21,1.45,6
10720865,945,416,876,784,848,958,283,0.25,1.96,0.47,0.77,0.56,0.21,2.39,6
10720925,943,380,875,783,847,956,269,0.26,2.07,0.48,0.77,0.57,0.22,2.43,6
10720985,940,310,875,781,846,955,198,0.27,2.3,0.48,0.78,0.57,0.22,2.66,6
10721046,942,379,877,777,865,959,230,0.26,2.08,0.47,0.79,0.51,0.21,2.56,6
10721105,942,333,875,779,867,960,240,0.26,2.23,0.48,0.79,0.5,0.2,2.53,6
