ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10563205,941,696,873,777,852,963,965,0.26,1.05,0.48,0.79,0.55,0.19,0.19,3
10563265,942,956,872,778,854,964,963,0.26,0.22,0.49,0.79,0.55,0.19,0.19,3
10563324,942,540,872,779,864,964,964,0.26,1.56,0.49,0.79,0.51,0.19,0.19,3
10563384,944,513,875,784,861,966,964,0.25,1.65,0.48,0.77,0.52,0.18,0.19,3
10563444,943,486,875,782,859,964,964,0.26,1.73,0.48,0.78,0.53,0.19,0.19,3
10563503,942,284,874,779,861,964,965,0.26,2.38,0.48,0.79,0.52,0.19,0.19,3
10563563,942,260,874,779,858,963,963,0.26,2.46,0.48,0.79,0.53,0.19,0.19,3
10563623,941,268,875,777,855,962,963,0.26,2.44,0.48,0.79,0.54,0.2,0.19,3
10563683,941,262,873,776,857,964,963,0.26,2.45,0.48,0.8,0.54,0.19,0.19,3
10563742,943,285,874,779,857,964,963,0.26,2.38,0.48,0.79,0.54,0.19,0.19,3
10563802,942,270,873,786,864,965,964,0.26,2.43,0.48,0.76,0.51,0.19,0.19,3
10563862,945,533,874,779,906,970,971,0.25,1.58,0.48,0.79,0.38,0.17,0.17,3
