ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10649448,914,935,875,752,777,948,950,0.35,0.28,0.48,0.87,0.79,0.24,0.24,5
10649507,915,936,875,751,785,950,950,0.35,0.28,0.48,0.88,0.77,0.24,0.24,5
10649567,915,937,879,752,783,950,949,0.35,0.28,0.46,0.87,0.77,0.24,0.24,5
10649627,916,936,878,752,781,950,950,0.35,0.28,0.47,0.87,0.78,0.24,0.24,5
10649686,918,935,879,751,782,949,951,0.34,0.28,0.46,0.88,0.78,0.24,0.23,5
10649746,916,935,880,752,774,950,949,0.35,0.28,0.46,0.87,0.8,0.24,0.24,5
10649806,916,935,881,752,777,949,956,0.35,0.28,0.46,0.87,0.79,0.24,0.22,5
10649866,922,934,880,753,772,949,948,0.33,0.29,0.46,0.87,0.81,0.24,0.24,5
10649925,922,933,879,754,773,949,949,0.33,0.29,0.46,0.87,0.81,0.24,0.24,5
10649985,913,934,878,755,776,950,949,0.35,0.29,0.47,0.86,0.8,0.24,0.24,5
