ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2509957,941.00,952.00,831.00,781.00,841.00,955.00,956.00,0.26,0.23,0.62,0.78,0.59,0.22,0.22,6
2510017,941.00,765.00,836.00,780.00,831.00,953.00,646.00,0.26,0.83,0.60,0.78,0.62,0.23,1.22,6
2510077,934.00,363.00,838.00,773.00,817.00,947.00,245.00,0.29,2.13,0.60,0.81,0.66,0.25,2.51,6
2510136,941.00,361.00,833.00,775.00,838.00,952.00,251.00,0.26,2.14,0.61,0.80,0.60,0.23,2.49,6
2510198,945.00,958.00,838.00,784.00,976.00,975.00,977.00,0.25,0.21,0.60,0.77,0.15,0.15,0.15,6
2510258,950.00,965.00,860.00,789.00,917.00,971.00,971.00,0.24,0.19,0.53,0.75,0.34,0.17,0.17,6
2510319,950.00,959.00,846.00,792.00,886.00,965.00,965.00,0.24,0.21,0.57,0.75,0.44,0.19,0.19,6
2510379,946.00,956.00,836.00,781.00,908.00,966.00,971.00,0.25,0.22,0.60,0.78,0.37,0.18,0.17,6
2510439,943.00,939.00,837.00,777.00,864.00,962.00,968.00,0.26,0.27,0.60,0.79,0.51,0.20,0.18,6
2510499,936.00,386.00,840.00,776.00,836.00,952.00,373.00,0.28,2.05,0.59,0.80,0.60,0.23,2.10,6
2510561,940.00,318.00,847.00,772.00,820.00,949.00,190.00,0.27,2.27,0.57,0.81,0.65,0.24,2.69,6
2510623,940.00,286.00,853.00,771.00,819.00,947.00,165.00,0.27,2.38,0.55,0.81,0.66,0.25,2.77,6
2510685,939.00,288.00,865.00,771.00,814.00,947.00,159.00,0.27,2.37,0.51,0.81,0.67,0.25,2.79,6
2510747,941.00,337.00,848.00,780.00,825.00,951.00,264.00,0.26,2.21,0.56,0.78,0.64,0.23,2.45,6
2510810,940.00,955.00,842.00,789.00,859.00,961.00,961.00,0.27,0.22,0.58,0.75,0.53,0.20,0.20,6
