ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10544028,941,672,875,776,856,962,961,0.26,1.13,0.48,0.8,0.54,0.2,0.2,3
10544087,939,689,876,775,862,965,962,0.27,1.08,0.47,0.8,0.52,0.19,0.2,3
10544147,940,952,877,777,862,963,963,0.27,0.23,0.47,0.79,0.52,0.19,0.19,3
10544207,938,275,875,775,864,961,962,0.27,2.41,0.48,0.8,0.51,0.2,0.2,3
10544267,939,330,876,772,863,961,961,0.27,2.24,0.47,0.81,0.52,0.2,0.2,3
10544326,938,258,876,771,864,961,961,0.27,2.47,0.47,0.81,0.51,0.2,0.2,3
10544386,937,252,875,770,861,961,960,0.28,2.49,0.48,0.82,0.52,0.2,0.2,3
10544446,937,381,875,769,862,961,961,0.28,2.07,0.48,0.82,0.52,0.2,0.2,3
10544505,929,564,877,772,878,964,963,0.3,1.48,0.47,0.81,0.47,0.19,0.19,3
