ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
3800153,909.00,921.00,867.00,757.00,813.00,922.00,873.00,0.37,0.33,1.47,0.86,0.68,0.33,0.48,4
3800212,900.00,829.00,867.00,757.00,806.00,917.00,638.00,0.36,0.63,1.47,0.86,0.70,0.34,1.24,4
3800272,910.00,399.00,867.00,756.00,807.00,895.00,522.00,0.36,2.01,1.47,0.86,0.70,0.41,1.62,4
3800332,908.00,285.00,868.00,760.00,798.00,897.00,225.00,0.37,2.38,1.47,0.85,0.73,0.41,2.57,4
3800392,906.00,273.00,869.00,754.00,800.00,896.00,212.00,0.38,2.42,1.46,0.87,0.72,0.41,2.62,4
3800451,902.00,269.00,868.00,753.00,802.00,903.00,210.00,0.39,2.43,1.47,0.87,0.71,0.39,2.62,4
3800511,899.00,263.00,868.00,754.00,798.00,894.00,208.00,0.40,2.45,1.47,0.87,0.73,0.42,2.63,4
3800571,894.00,265.00,868.00,753.00,798.00,886.00,209.00,0.42,2.45,1.47,0.87,0.73,0.44,2.63,4
3800631,898.00,263.00,868.00,753.00,801.00,892.00,206.00,0.40,2.45,1.47,0.87,0.72,0.42,2.64,4
3800691,896.00,263.00,868.00,752.00,799.00,884.00,207.00,0.41,2.45,1.47,0.87,0.72,0.45,2.63,4
3800752,894.00,262.00,868.00,753.00,798.00,886.00,206.00,0.42,2.45,1.47,0.87,0.73,0.44,2.64,4
3800812,894.00,260.00,868.00,752.00,797.00,886.00,206.00,0.42,2.46,1.47,0.87,0.73,0.44,2.64,4
3800871,894.00,262.00,867.00,753.00,797.00,890.00,205.00,0.42,2.45,1.47,0.87,0.73,0.43,2.64,4
3800931,894.00,261.00,867.00,751.00,796.00,889.00,205.00,0.42,2.46,1.47,0.88,0.73,0.43,2.64,4
3800991,892.00,262.00,868.00,751.00,796.00,886.00,205.00,0.42,2.45,1.47,0.88,0.73,0.44,2.64,4
3801050,889.00,260.00,867.00,750.00,797.00,889.00,204.00,0.43,2.46,1.47,0.88,0.73,0.43,2.64,4
3801111,893.00,259.00,867.00,751.00,796.00,890.00,204.00,0.42,2.46,1.47,0.88,0.73,0.43,2.64,4
3801171,890.00,259.00,868.00,751.00,796.00,890.00,202.00,0.43,2.46,1.47,0.88,0.73,0.43,2.65,4
3801230,892.00,259.00,867.00,751.00,796.00,893.00,203.00,0.42,2.46,1.47,0.88,0.73,0.42,2.65,4
3801290,891.00,260.00,867.00,752.00,797.00,894.00,202.00,0.43,2.46,1.47,0.87,0.73,0.42,2.65,4
3801351,895.00,265.00,869.00,753.00,800.00,897.00,207.00,0.41,2.45,1.46,0.87,0.72,0.41,2.63,4
3801411,904.00,286.00,871.00,754.00,804.00,903.00,230.00,0.38,2.38,1.46,0.87,0.71,0.39,2.56,4
3801470,900.00,818.00,868.00,754.00,808.00,925.00,704.00,0.37,0.66,1.47,0.87,0.69,0.32,1.03,4
