ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
4170431,901.00,901.00,859.00,739.00,802.00,914.00,899.00,0.39,0.39,1.50,0.92,0.71,0.35,0.40,6
4170490,901.00,807.00,860.00,740.00,801.00,872.00,785.00,0.39,0.70,1.49,0.91,0.72,0.49,0.77,6
4170550,902.00,918.00,856.00,737.00,802.00,921.00,919.00,0.39,0.34,1.51,0.92,0.71,0.33,0.34,6
4170610,900.00,917.00,862.00,742.00,810.00,924.00,923.00,0.40,0.34,1.49,0.91,0.69,0.32,0.32,6
4170669,909.00,921.00,895.00,746.00,815.00,928.00,929.00,0.37,0.33,1.38,0.89,0.67,0.31,0.30,6
4170729,907.00,923.00,821.00,741.00,812.00,930.00,931.00,0.37,0.32,1.30,0.91,0.68,0.30,0.30,6
4170789,904.00,921.00,893.00,746.00,812.00,927.00,929.00,0.38,0.33,1.39,0.89,0.68,0.31,0.30,6
4170849,902.00,918.00,874.00,744.00,812.00,923.00,927.00,0.39,0.34,1.45,0.90,0.68,0.32,0.31,6
4170908,903.00,917.00,861.00,740.00,804.00,922.00,920.00,0.39,0.34,1.49,0.91,0.71,0.33,0.33,6
4170968,899.00,473.00,860.00,740.00,802.00,875.00,541.00,0.40,1.77,1.49,0.91,0.71,0.48,1.55,6
4171028,900.00,424.00,864.00,741.00,803.00,830.00,400.00,0.40,1.93,1.48,0.91,0.71,0.62,2.01,6
4171087,900.00,336.00,867.00,743.00,803.00,807.00,313.00,0.40,2.22,1.47,0.90,0.71,0.70,2.29,6
4171147,900.00,580.00,866.00,742.00,805.00,866.00,630.00,0.40,1.43,1.47,0.91,0.70,0.51,1.27,6
4171207,914.00,920.00,872.00,745.00,815.00,926.00,925.00,0.35,0.33,1.45,0.90,0.67,0.31,0.32,6
