ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10777848,905,930,629,796,871,940,940,0.38,0.3,1.27,0.73,0.49,0.27,0.27,7
10777908,905,930,625,795,868,939,940,0.38,0.3,1.28,0.74,0.5,0.27,0.27,7
10777968,906,928,626,797,861,938,939,0.38,0.31,1.28,0.73,0.52,0.27,0.27,7
10778028,906,930,625,798,860,939,938,0.38,0.3,1.28,0.73,0.53,0.27,0.27,7
10778088,906,930,624,799,864,938,939,0.38,0.3,1.29,0.72,0.51,0.27,0.27,7
10778148,906,929,624,797,864,938,938,0.38,0.3,1.29,0.73,0.51,0.27,0.27,7
10778208,905,928,624,797,865,939,938,0.38,0.31,1.29,0.73,0.51,0.27,0.27,7
10778267,906,930,623,795,865,938,938,0.38,0.3,1.29,0.74,0.51,0.27,0.27,7
10778327,905,930,623,796,865,939,939,0.38,0.3,1.29,0.73,0.51,0.27,0.27,7
10778387,906,929,624,794,862,938,938,0.38,0.3,1.29,0.74,0.52,0.27,0.27,7
10778446,906,930,622,796,863,939,938,0.38,0.3,1.29,0.73,0.52,0.27,0.27,7
10778506,907,929,622,796,864,937,938,0.37,0.3,1.29,0.73,0.51,0.28,0.27,7
10778565,906,929,627,797,864,940,939,0.38,0.3,1.28,0.73,0.51,0.27,0.27,7
