ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
3684516,926.00,584.00,885.00,738.00,802.00,916.00,922.00,0.38,1.42,1.51,0.92,0.71,0.35,0.33,3
3684576,926.00,321.00,852.00,737.00,802.00,922.00,922.00,0.38,2.26,1.52,0.92,0.71,0.33,0.33,3
3684636,925.00,326.00,851.00,737.00,802.00,921.00,922.00,0.38,2.25,1.52,0.92,0.71,0.33,0.33,3
3684696,924.00,273.00,851.00,737.00,801.00,922.00,921.00,0.38,2.42,1.52,0.92,0.72,0.33,0.33,3
3684756,923.00,265.00,851.00,736.00,802.00,922.00,921.00,0.39,2.45,1.52,0.93,0.71,0.33,0.33,3
3684816,920.00,272.00,851.00,736.00,803.00,921.00,921.00,0.36,2.42,1.52,0.93,0.71,0.33,0.33,3
3684876,923.00,257.00,851.00,736.00,803.00,922.00,922.00,0.39,2.47,1.52,0.93,0.71,0.33,0.33,3
3684936,923.00,255.00,851.00,736.00,803.00,921.00,922.00,0.39,2.48,1.52,0.93,0.71,0.33,0.33,3
3684996,922.00,250.00,850.00,735.00,803.00,922.00,921.00,0.39,2.49,1.53,0.93,0.71,0.33,0.33,3
3685055,921.00,250.00,851.00,735.00,803.00,922.00,922.00,0.39,2.49,1.52,0.93,0.71,0.33,0.33,3
3685116,922.00,254.00,850.00,735.00,803.00,922.00,922.00,0.39,2.48,1.53,0.93,0.71,0.33,0.33,3
3685176,921.00,262.00,850.00,736.00,801.00,922.00,923.00,0.39,2.45,1.53,0.93,0.72,0.33,0.32,3
3685237,923.00,270.00,851.00,735.00,802.00,922.00,921.00,0.39,2.43,1.52,0.93,0.71,0.33,0.33,3
3685296,922.00,265.00,850.00,737.00,803.00,922.00,922.00,0.39,2.45,1.53,0.92,0.71,0.33,0.33,3
3685357,921.00,260.00,851.00,735.00,802.00,923.00,922.00,0.39,2.46,1.52,0.93,0.71,0.32,0.33,3
3685417,921.00,258.00,850.00,735.00,803.00,922.00,921.00,0.39,2.47,1.53,0.93,0.71,0.33,0.33,3
3685477,921.00,258.00,850.00,737.00,803.00,922.00,921.00,0.39,2.47,1.53,0.92,0.71,0.33,0.33,3
3685537,921.00,262.00,850.00,736.00,801.00,921.00,923.00,0.39,2.45,1.53,0.93,0.72,0.33,0.32,3
3685596,925.00,351.00,851.00,737.00,803.00,922.00,923.00,0.38,2.17,1.52,0.92,0.71,0.33,0.32,3
3685656,927.00,362.00,854.00,740.00,804.00,923.00,923.00,0.37,2.13,1.51,0.91,0.71,0.32,0.32,3
