ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
1537475,938.00,953.00,842.00,766.00,865.00,957.00,959.00,0.27,0.23,0.58,0.83,0.51,0.21,0.21,0
1537535,941.00,954.00,843.00,767.00,867.00,959.00,959.00,0.26,0.22,0.58,0.83,0.50,0.21,0.21,0
1537595,938.00,954.00,842.00,767.00,867.00,959.00,960.00,0.27,0.22,0.58,0.83,0.50,0.21,0.20,0
1537655,938.00,954.00,841.00,769.00,864.00,962.00,960.00,0.27,0.22,0.59,0.82,0.51,0.20,0.20,0
1537714,943.00,956.00,841.00,769.00,888.00,964.00,963.00,0.26,0.22,0.59,0.82,0.44,0.19,0.19,0
1537774,940.00,952.00,840.00,770.00,852.00,959.00,959.00,0.27,0.23,0.59,0.82,0.55,0.21,0.21,0
1537834,937.00,952.00,842.00,769.00,845.00,958.00,957.00,0.28,0.23,0.58,0.82,0.57,0.21,0.21,0
1537894,938.00,952.00,841.00,768.00,846.00,958.00,958.00,0.27,0.23,0.59,0.82,0.57,0.21,0.21,0
1537954,935.00,952.00,841.00,765.00,845.00,957.00,957.00,0.28,0.23,0.59,0.83,0.57,0.21,0.21,0
1538015,940.00,955.00,841.00,767.00,863.00,960.00,960.00,0.27,0.22,0.59,0.83,0.52,0.20,0.20,0
1538076,939.00,956.00,842.00,767.00,881.00,962.00,962.00,0.27,0.22,0.58,0.83,0.46,0.20,0.20,0
1538136,936.00,953.00,842.00,768.00,846.00,958.00,958.00,0.28,0.23,0.58,0.82,0.57,0.21,0.21,0
1538196,937.00,952.00,843.00,768.00,841.00,956.00,957.00,0.28,0.23,0.58,0.82,0.59,0.22,0.21,0
1538255,936.00,953.00,842.00,768.00,840.00,956.00,957.00,0.28,0.23,0.58,0.82,0.59,0.22,0.21,0
1538317,936.00,953.00,841.00,766.00,845.00,957.00,958.00,0.28,0.23,0.59,0.83,0.57,0.21,0.21,0
1538377,936.00,953.00,842.00,764.00,855.00,959.00,959.00,0.28,0.23,0.58,0.84,0.54,0.21,0.21,0
1538437,936.00,953.00,838.00,765.00,849.00,956.00,958.00,0.28,0.23,0.60,0.83,0.56,0.22,0.21,0
1538496,935.00,952.00,841.00,766.00,841.00,955.00,957.00,0.28,0.23,0.59,0.83,0.59,0.22,0.21,0
1538556,935.00,951.00,840.00,764.00,840.00,956.00,956.00,0.28,0.23,0.59,0.84,0.59,0.22,0.22,0
1538616,934.00,952.00,840.00,766.00,839.00,957.00,956.00,0.29,0.23,0.59,0.83,0.59,0.21,0.22,0
1538676,935.00,952.00,840.00,766.00,836.00,958.00,956.00,0.28,0.23,0.59,0.83,0.60,0.21,0.22,0
1538736,936.00,952.00,841.00,765.00,838.00,956.00,957.00,0.28,0.23,0.59,0.83,0.60,0.22,0.21,0
