ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
3669655,914.00,338.00,864.00,748.00,806.00,925.00,922.00,0.35,2.21,1.48,0.89,0.70,0.32,0.33,3
3669715,913.00,366.00,863.00,748.00,804.00,924.00,923.00,0.35,2.12,1.48,0.89,0.71,0.32,0.32,3
3669774,913.00,282.00,864.00,746.00,805.00,924.00,923.00,0.35,2.39,1.48,0.89,0.70,0.32,0.32,3
3669834,913.00,275.00,862.00,748.00,805.00,924.00,924.00,0.35,2.41,1.49,0.89,0.70,0.32,0.32,3
3669893,913.00,263.00,863.00,747.00,804.00,923.00,922.00,0.35,2.45,1.48,0.89,0.71,0.32,0.33,3
3669953,913.00,262.00,863.00,747.00,804.00,920.00,924.00,0.35,2.45,1.48,0.89,0.71,0.33,0.32,3
3670013,912.00,266.00,864.00,747.00,802.00,918.00,924.00,0.36,2.44,1.48,0.89,0.71,0.34,0.32,3
3670073,912.00,261.00,863.00,746.00,802.00,918.00,924.00,0.36,2.46,1.48,0.89,0.71,0.34,0.32,3
3670132,925.00,257.00,864.00,746.00,801.00,919.00,925.00,0.38,2.47,1.48,0.89,0.72,0.34,0.32,3
3670192,926.00,258.00,863.00,746.00,802.00,921.00,923.00,0.38,2.47,1.48,0.89,0.71,0.33,0.32,3
3670252,925.00,260.00,864.00,747.00,801.00,921.00,922.00,0.38,2.46,1.48,0.89,0.72,0.33,0.33,3
3670312,924.00,257.00,863.00,746.00,801.00,920.00,925.00,0.38,2.47,1.48,0.89,0.72,0.33,0.32,3
3670371,923.00,257.00,862.00,746.00,803.00,919.00,923.00,0.39,2.47,1.49,0.89,0.71,0.34,0.32,3
3670431,923.00,255.00,864.00,746.00,801.00,920.00,923.00,0.39,2.48,1.48,0.89,0.72,0.33,0.32,3
3670490,922.00,256.00,864.00,746.00,800.00,921.00,921.00,0.39,2.47,1.48,0.89,0.72,0.33,0.33,3
3670550,924.00,266.00,864.00,746.00,800.00,922.00,924.00,0.38,2.44,1.48,0.89,0.72,0.33,0.32,3
3670610,923.00,333.00,864.00,749.00,804.00,923.00,926.00,0.35,2.23,1.48,0.88,0.71,0.32,0.31,3
