ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2390623,940.00,952.00,865.00,792.00,803.00,957.00,955.00,0.27,0.23,0.51,0.75,0.71,0.21,0.22,5
2390683,937.00,950.00,863.00,781.00,780.00,952.00,951.00,0.28,0.24,0.52,0.78,0.78,0.23,0.23,5
2390743,934.00,947.00,862.00,775.00,760.00,949.00,947.00,0.29,0.25,0.52,0.80,0.85,0.24,0.25,5
2390803,935.00,945.00,864.00,772.00,748.00,947.00,945.00,0.28,0.25,0.51,0.81,0.89,0.25,0.25,5
2390864,937.00,946.00,862.00,773.00,745.00,947.00,945.00,0.28,0.25,0.52,0.81,0.90,0.25,0.25,5
2390923,928.00,945.00,853.00,774.00,756.00,948.00,945.00,0.31,0.25,0.55,0.80,0.86,0.24,0.25,5
2390983,931.00,946.00,852.00,777.00,763.00,948.00,947.00,0.30,0.25,0.55,0.79,0.84,0.24,0.25,5
2391043,928.00,945.00,852.00,772.00,748.00,946.00,945.00,0.31,0.25,0.55,0.81,0.89,0.25,0.25,5
2391105,922.00,944.00,853.00,773.00,737.00,944.00,941.00,0.33,0.25,0.55,0.81,0.92,0.25,0.26,5
2391167,922.00,944.00,852.00,773.00,734.00,943.00,941.00,0.33,0.25,0.55,0.81,0.93,0.26,0.26,5
2391229,919.00,944.00,856.00,772.00,733.00,942.00,942.00,0.34,0.25,0.54,0.81,0.94,0.26,0.26,5
2391290,912.00,944.00,857.00,766.00,739.00,944.00,942.00,0.36,0.25,0.54,0.83,0.92,0.25,0.26,5
2391351,912.00,945.00,860.00,764.00,748.00,945.00,944.00,0.36,0.25,0.53,0.84,0.89,0.25,0.25,5
2391413,921.00,945.00,869.00,777.00,743.00,948.00,946.00,0.33,0.25,0.50,0.79,0.90,0.24,0.25,5
