ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10582901,936,524,875,779,867,966,967,0.28,1.61,0.48,0.79,0.5,0.18,0.18,3
10582961,932,306,876,776,878,966,966,0.29,2.31,0.47,0.8,0.47,0.18,0.18,3
10583021,932,409,875,776,879,965,966,0.29,1.98,0.48,0.8,0.46,0.19,0.18,3
10583081,929,276,874,776,862,966,964,0.3,2.41,0.48,0.8,0.52,0.18,0.19,3
10583140,929,266,876,775,878,967,966,0.3,2.44,0.47,0.8,0.47,0.18,0.18,3
10583200,928,259,877,778,860,964,963,0.31,2.46,0.47,0.79,0.53,0.19,0.19,3
10583260,927,257,875,774,858,963,963,0.31,2.47,0.48,0.8,0.53,0.19,0.19,3
10583319,928,260,874,780,862,965,965,0.31,2.46,0.48,0.78,0.52,0.19,0.19,3
10583380,934,270,875,781,881,966,964,0.29,2.43,0.48,0.78,0.46,0.18,0.19,3
